timestamp,event,object,confidence
2026-09-01 20:37:17,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:18,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:19,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:20,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:21,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:22,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:23,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:24,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:25,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:26,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:27,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:28,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:29,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:30,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:31,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:32,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:33,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:34,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:35,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:36,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:37,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:38,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:39,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:40,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:41,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:42,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:43,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:44,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:45,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:46,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:47,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:48,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:49,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:50,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:51,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:52,Restricted Zone Intrusion,Person,1.00
